WeekEndDate,Variant,CasesDeath,Number
8/21/2021,BA5,Cases,0
8/21/2021,BA5,Deaths,0
8/21/2021,Other,Cases,14724
8/21/2021,Other,Deaths,120
8/28/2021,All,Cases,1109389
8/28/2021,All,Deaths,10407
8/28/2021,B11529,Cases,0
8/28/2021,B11529,Deaths,0
8/28/2021,B16172,Cases,1085847
8/28/2021,B16172,Deaths,10186
8/28/2021,BA11,Cases,0
8/28/2021,BA11,Deaths,0
8/28/2021,BA2,Cases,0
8/28/2021,BA2,Deaths,0
8/28/2021,BA2121,Cases,0
8/28/2021,BA2121,Deaths,0
8/28/2021,BA4,Cases,0
8/28/2021,BA4,Deaths,0
8/28/2021,BA5,Cases,0
8/28/2021,BA5,Deaths,0
8/28/2021,Other,Cases,23542
8/28/2021,Other,Deaths,221
9/4/2021,All,Cases,1138777
9/4/2021,All,Deaths,11618
9/4/2021,B11529,Cases,0
9/4/2021,B11529,Deaths,0
9/4/2021,B16172,Cases,1124882
9/4/2021,B16172,Deaths,11476
9/4/2021,BA11,Cases,0
9/4/2021,BA11,Deaths,0
9/4/2021,BA2,Cases,0
9/4/2021,BA2,Deaths,0
9/4/2021,BA2121,Cases,0
9/4/2021,BA2121,Deaths,0
9/4/2021,BA4,Cases,0
9/4/2021,BA4,Deaths,0
9/4/2021,BA5,Cases,0
9/4/2021,BA5,Deaths,0
9/4/2021,Other,Cases,13895
9/4/2021,Other,Deaths,142
9/11/2021,All,Cases,1034871
9/11/2021,All,Deaths,12181
9/11/2021,B11529,Cases,0
9/11/2021,B11529,Deaths,0
9/11/2021,B16172,Cases,1022790
9/11/2021,B16172,Deaths,12039
9/11/2021,BA11,Cases,0
9/11/2021,BA11,Deaths,0
9/11/2021,BA2,Cases,0
9/11/2021,BA2,Deaths,0
9/11/2021,BA2121,Cases,0
9/11/2021,BA2121,Deaths,0
9/11/2021,BA4,Cases,0
9/11/2021,BA4,Deaths,0
9/11/2021,BA5,Cases,0
9/11/2021,BA5,Deaths,0
9/11/2021,Other,Cases,12081
9/11/2021,Other,Deaths,142
9/18/2021,All,Cases,1005813
9/18/2021,All,Deaths,13299
9/18/2021,B11529,Cases,0
9/18/2021,B11529,Deaths,0
9/18/2021,B16172,Cases,990698
9/18/2021,B16172,Deaths,13099
9/18/2021,BA11,Cases,0
9/18/2021,BA11,Deaths,0
9/18/2021,BA2,Cases,0
9/18/2021,BA2,Deaths,0
9/18/2021,BA2121,Cases,0
9/18/2021,BA2121,Deaths,0
9/18/2021,BA4,Cases,0
9/18/2021,BA4,Deaths,0
9/18/2021,BA5,Cases,0
9/18/2021,BA5,Deaths,0
9/18/2021,Other,Cases,15115
9/18/2021,Other,Deaths,200
9/25/2021,All,Cases,826177
9/25/2021,All,Deaths,13057
9/25/2021,B11529,Cases,0
9/25/2021,B11529,Deaths,0
9/25/2021,B16172,Cases,815851
9/25/2021,B16172,Deaths,12894
9/25/2021,BA11,Cases,0
9/25/2021,BA11,Deaths,0
9/25/2021,BA2,Cases,0
9/25/2021,BA2,Deaths,0
9/25/2021,BA2121,Cases,0
9/25/2021,BA2121,Deaths,0
9/25/2021,BA4,Cases,0
9/25/2021,BA4,Deaths,0
9/25/2021,BA5,Cases,0
9/25/2021,BA5,Deaths,0
9/25/2021,Other,Cases,10326
9/25/2021,Other,Deaths,163
10/2/2021,All,Cases,740043
10/2/2021,All,Deaths,12266
10/2/2021,B11529,Cases,24
10/2/2021,B11529,Deaths,0
10/2/2021,B16172,Cases,730255
10/2/2021,B16172,Deaths,12104
10/2/2021,BA11,Cases,60
10/2/2021,BA11,Deaths,1
10/2/2021,BA2,Cases,0
10/2/2021,BA2,Deaths,0
10/2/2021,BA2121,Cases,0
10/2/2021,BA2121,Deaths,0
10/2/2021,BA4,Cases,0
10/2/2021,BA4,Deaths,0
10/2/2021,BA5,Cases,0
10/2/2021,BA5,Deaths,0
10/2/2021,Other,Cases,9704
10/2/2021,Other,Deaths,161
10/9/2021,All,Cases,658260
10/9/2021,All,Deaths,11294
10/9/2021,B11529,Cases,0
10/9/2021,B11529,Deaths,0
10/9/2021,B16172,Cases,648314
10/9/2021,B16172,Deaths,11123
10/9/2021,BA11,Cases,16
10/9/2021,BA11,Deaths,0
10/9/2021,BA2,Cases,0
10/9/2021,BA2,Deaths,0
10/9/2021,BA2121,Cases,0
10/9/2021,BA2121,Deaths,0
10/9/2021,BA4,Cases,0
10/9/2021,BA4,Deaths,0
10/9/2021,BA5,Cases,0
10/9/2021,BA5,Deaths,0
10/9/2021,Other,Cases,9929
10/9/2021,Other,Deaths,170
10/16/2021,All,Cases,571726
10/16/2021,All,Deaths,9844
10/16/2021,B11529,Cases,0
10/16/2021,B11529,Deaths,0
10/16/2021,B16172,Cases,564108
10/16/2021,B16172,Deaths,9713
10/16/2021,BA11,Cases,0
10/16/2021,BA11,Deaths,0
10/16/2021,BA2,Cases,0
10/16/2021,BA2,Deaths,0
10/16/2021,BA2121,Cases,0
10/16/2021,BA2121,Deaths,0
10/16/2021,BA4,Cases,0
10/16/2021,BA4,Deaths,0
10/16/2021,BA5,Cases,0
10/16/2021,BA5,Deaths,0
10/16/2021,Other,Cases,7618
10/16/2021,Other,Deaths,131
10/23/2021,All,Cases,481135
10/23/2021,All,Deaths,9657
10/23/2021,B11529,Cases,7
10/23/2021,B11529,Deaths,0
10/23/2021,B16172,Cases,474240
10/23/2021,B16172,Deaths,9519
10/23/2021,BA11,Cases,0
10/23/2021,BA11,Deaths,0
10/23/2021,BA2,Cases,0
10/23/2021,BA2,Deaths,0
10/23/2021,BA2121,Cases,0
10/23/2021,BA2121,Deaths,0
10/23/2021,BA4,Cases,0
10/23/2021,BA4,Deaths,0
10/23/2021,BA5,Cases,0
10/23/2021,BA5,Deaths,0
10/23/2021,Other,Cases,6888
10/23/2021,Other,Deaths,138
10/30/2021,All,Cases,502599
10/30/2021,All,Deaths,8520
10/30/2021,B11529,Cases,14
10/30/2021,B11529,Deaths,0
10/30/2021,B16172,Cases,496907
10/30/2021,B16172,Deaths,8424
10/30/2021,BA11,Cases,5
10/30/2021,BA11,Deaths,0
10/30/2021,BA2,Cases,0
10/30/2021,BA2,Deaths,0
10/30/2021,BA2121,Cases,0
